,chunk,lang,video_id,start,end
0,7,spanish,UQZnpY74yCo,30.4,35.4
1,2,spanish,jiR8Arh0x7o,6.175000000000001,11.175
2,1,spanish,JjX7X_vJIPU,0.3249999999999993,5.324999999999999
3,2,spanish,ysHsVFXI2-8,6.458333333333332,11.458333333333332
4,1,spanish,kfpkhMHgS8M,1.0,6.0
5,4,spanish,aluZxAh1ook,16.783333333333335,21.783333333333335
6,6,spanish,WmrcI7SuBq4,27.366666666666667,32.36666666666667
7,2,spanish,MFsX0rCCMuo,5.933333333333334,10.933333333333334
8,9,spanish,HL8mPKIjYeY,42.09166666666667,47.09166666666667
9,2,spanish,98mnuMO7nTE,6.166666666666666,11.166666666666666
10,6,spanish,h9z4vR-WUbo,25.016666666666666,30.016666666666666
11,6,spanish,lr2f3FhoOp0,25.0,30.0
12,5,spanish,EoZPNWKE_6o,20.775,25.775
13,4,spanish,4mn9aM-ysTs,17.28333333333333,22.28333333333333
14,4,spanish,PVDu5on4hIA,17.46666666666667,22.46666666666667
15,2,spanish,UzM6HrFbG8k,7.300000000000001,12.3
16,6,spanish,9R82ptbZ9mk,25.925,30.925
17,1,spanish,E2TYS6rAyGQ,2.3166666666666664,7.316666666666666
18,7,spanish,f0bpS5LF0fE,32.391666666666666,37.391666666666666
19,2,spanish,GCtlG2QWEbM,5.366666666666667,10.366666666666667
20,3,spanish,7ik5jk-gOVo,10.133333333333333,15.133333333333333
21,8,spanish,qxvp9NgNzdI,36.766666666666666,41.766666666666666
22,1,spanish,gqbY6K8ifv4,1.4250000000000007,6.425000000000001
23,9,spanish,dIU0gimu3vA,41.88333333333333,46.88333333333333
24,2,spanish,osrmDjbZfPI,6.216666666666667,11.216666666666667
25,1,spanish,Wzd2k2FMGIk,2.3166666666666664,7.316666666666666
26,3,spanish,mY_1WoTojxE,10.491666666666667,15.491666666666667
27,4,spanish,Gc2yiipetFE,16.95,21.95
28,2,spanish,5CQ31MrE_j0,5.133333333333333,10.133333333333333
29,5,spanish,D14h2yh7qd4,22.133333333333333,27.133333333333333
30,2,spanish,34ClQ_irO2g,6.0166666666666675,11.016666666666667
31,2,spanish,1iWgnRQ4cwY,5.5,10.5
32,6,spanish,0oNr7yYAjfY,26.775,31.775
33,3,spanish,TInMEuYsUgw,12.133333333333333,17.133333333333333
34,3,spanish,38j1B7Ll5oE,11.149999999999999,16.15
35,4,spanish,hLSVgzD-8TQ,16.25,21.25
36,3,spanish,Zl3PcNP4I9o,11.55,16.55
37,4,spanish,imw7swPht-E,15.775,20.775
38,6,spanish,HysERr4zjTg,26.616666666666667,31.616666666666667
39,4,spanish,yyk64QiaQck,16.875,21.875
40,4,spanish,dSwXiM2GU7M,15.716666666666665,20.716666666666665
41,4,spanish,cC-S4oPd5-0,15.016666666666667,20.016666666666666
42,4,spanish,V3HblKKUeBs,16.691666666666666,21.691666666666666
43,2,spanish,k2QcpLWxYVY,6.758333333333333,11.758333333333333
44,3,spanish,paAr9bJUEzo,12.041666666666666,17.041666666666664
45,3,spanish,fqrssL9y30Q,11.991666666666667,16.991666666666667
46,1,spanish,rEZisfF40sU,1.3083333333333336,6.308333333333334
47,2,spanish,df2OPBFjkRM,5.9833333333333325,10.983333333333333
48,4,spanish,O23FlpeQj0g,16.333333333333332,21.333333333333332
49,4,spanish,c_B6QacYyXs,16.116666666666667,21.116666666666667
50,2,spanish,W59cnDyeb3U,6.125,11.125
51,1,spanish,sYsuX6E8eRk,0.18333333333333357,5.183333333333334
52,1,spanish,2ff8BDuaBWc,0.7333333333333343,5.733333333333334
53,4,spanish,vhLMhqglmZs,15.9,20.9
54,5,spanish,tGwCk1X-YTU,20.833333333333336,25.833333333333336
55,2,spanish,P62K_9vNhVg,7.1,12.1
56,5,spanish,Thkg9yOSfuo,21.275,26.275
