chunk,lang,video_id,start,end
5,english,V1VX9HoiyCI,21.941666666666666,26.941666666666666
3,english,tsmSM_sCBbo,10.616666666666667,15.616666666666667
9,english,htfevr4H80Q,42.38333333333333,47.38333333333333
9,english,XNjDsf9ELnY,40.8,45.8
5,english,kRQCiw2slfc,20.783333333333335,25.783333333333335
2,english,LfSr7syFYko,6.066666666666666,11.066666666666666
1,english,SOLdmoSHm4Y,0.7749999999999986,5.774999999999999
4,english,uwQrStQPCQk,16.05,21.05
4,english,kMTBXLvqyx8,15.375,20.375
5,english,Afv2wfEfWPY,20.625,25.625
2,english,rA21fR7Z-Xg,6.008333333333333,11.008333333333333
2,english,yMPFmTQ4qOg,5.366666666666667,10.366666666666667
3,english,EVSLJjN3CE0,11.583333333333332,16.583333333333332
8,english,IIC8mbFI_y4,36.86666666666667,41.86666666666667
8,english,TDp_j2ogn9I,35.775,40.775
4,english,oliTVfzX7fU,15.608333333333334,20.608333333333334
1,english,fszqoCs5LM8,0.15000000000000036,5.15
5,english,ofLkAGhL8iU,20.358333333333334,25.358333333333334
3,english,O0pYUjIiDLU,10.25,15.25
11,english,O0pYUjIiDLU,50.25,55.25
7,english,CKQOmJSTIa8,30.65,35.65
3,english,4k6408EOqOE,11.733333333333334,16.733333333333334
3,english,4kNCVuxwFSM,10.575,15.575
3,english,oInmAjJflP0,12.266666666666667,17.266666666666666
7,english,tyZ3q98BIU4,31.383333333333333,36.38333333333333
7,english,EVNiy5i0eyI,32.44166666666666,37.44166666666666
1,english,N_V8KrSAK5E,2.166666666666666,7.166666666666666
2,english,H6ctGF9vuaw,7.199999999999999,12.2
3,english,GlDWn0DQiiU,11.191666666666666,16.191666666666666
4,english,Z_1fCHkdauA,17.25,22.25
1,english,qAlYcnawin4,0.9083333333333332,5.908333333333333
3,english,k_9dnS6dzIY,11.758333333333333,16.758333333333333
5,english,BhRSvb8oNdY,21.816666666666666,26.816666666666666
1,english,zj3UYhSsrwU,2.258333333333333,7.258333333333333
10,english,LQjUtJ-hO-0,46.85,51.85
3,english,QVSWpb6WtRg,12.366666666666667,17.366666666666667
3,english,cERKJsljH8g,12.183333333333334,17.183333333333334
11,english,FCDUOYKGc_I,52.266666666666666,57.266666666666666
7,english,1LAJgabZqSU,30.35,35.35
1,english,g-dJQU3x24Y,0.8833333333333329,5.883333333333333
3,english,8n40ZF9myFM,10.75,15.75
1,english,3c9GhDwtHs0,0.6000000000000014,5.600000000000001
2,english,4Pqxd2Oqn2g,5.841666666666667,10.841666666666667
6,english,mC-TeALBKPo,26.5,31.5
6,english,gZu4_GRVLm4,26.383333333333333,31.383333333333333
7,english,2dn78P6nWYM,30.033333333333335,35.03333333333333
4,english,yMPFmTQ4qOg,15.366666666666667,20.366666666666667
3,english,iMnW-tuOphs,10.241666666666667,15.241666666666667
7,english,XGzFkIg6gY4,31.641666666666666,36.641666666666666
2,english,Hsg2W6GTrjk,5.816666666666666,10.816666666666666
2,english,7sHpW_urPlA,5.241666666666667,10.241666666666667
2,english,SCN2QFkjvX8,5.966666666666667,10.966666666666667
1,english,Bvnj9Zd6Uk0,2.1833333333333336,7.183333333333334
4,english,Iaa2_snBA7M,16.225,21.225
3,english,3yQrHvL4Pvs,10.066666666666666,15.066666666666666
2,english,M8tqOh8T62o,5.1,10.1
2,english,SglNTDgMTAc,6.216666666666665,11.216666666666665
6,english,0rR0RUL3hO8,25.716666666666665,30.716666666666665
5,english,u2Fgn-hfMgE,20.0,25.0
9,english,TDp_j2ogn9I,40.775,45.775
7,english,vZ4XwXtuv6U,31.475,36.475
7,english,pUxitkHGD1E,32.108333333333334,37.108333333333334
8,english,wts8HRTi6xs,35.45,40.45
3,english,tllYRSKCCWM,12.158333333333335,17.158333333333335
2,english,Xgc92GAHWp8,5.2333333333333325,10.233333333333333
2,english,jCarH0aAHNA,5.816666666666666,10.816666666666666
4,english,3BqOc5citzE,15.941666666666666,20.941666666666666
6,english,f2gWKZq9Fx8,26.808333333333334,31.808333333333334
1,english,gHdoQxnMfyQ,0.6583333333333332,5.658333333333333
3,english,cLuUP-hl0YI,11.225,16.225
2,english,o05CghU4kOA,6.074999999999999,11.075
3,english,40LiJ4BEPig,11.024999999999999,16.025
6,english,vfMsEPOrg84,25.166666666666664,30.166666666666664
4,english,aNuH8TeXFzk,17.383333333333333,22.383333333333333
4,english,g6CVApMxmqg,15.741666666666667,20.741666666666667
2,english,MeAM5xKIKWY,5.533333333333335,10.533333333333335
2,english,QCl81L8Hfn0,6.033333333333335,11.033333333333335
3,english,4HC_X-ldhyI,10.024999999999999,15.024999999999999
1,english,IbEDRqENYO8,1.5500000000000007,6.550000000000001
5,english,Ia7_2l7P4-0,21.3,26.3
3,english,0uIxwmZcGLA,10.741666666666667,15.741666666666667
